position,player_name,total_score,r4_score,sg_putt,sg_arg,sg_app,sg_ott,sg_t2g,sg_total
1,"Matsuyama, Hideki",-10,1,0.226,1.401,1.5,0.35,3.251,3.477
2,"Zalatoris, Will",-9,-2,1.216,0.067,0.968,0.976,2.011,3.227
T3,"Schauffele, Xander",-7,0,-0.267,1.512,0.651,0.831,2.994,2.727
T3,"Spieth, Jordan",-7,-2,-0.876,1.699,1.119,0.785,3.603,2.727
T5,"Rahm, Jon",-6,-6,0.084,0.884,-0.197,1.705,2.393,2.477
T5,"Leishman, Marc",-6,1,0.435,1.029,1.466,-0.453,2.042,2.477
7,"Rose, Justin",-5,2,1.511,0.258,0.642,-0.184,0.716,2.227
T8,"Conners, Corey",-4,2,-0.184,-0.533,2.307,0.386,2.161,1.977
T8,"Reed, Patrick",-4,-3,1.68,0.129,0.392,-0.224,0.297,1.977
T10,"Smith, Cameron",-3,-2,-0.171,0.912,0.652,0.335,1.898,1.727
T10,"Finau, Tony",-3,0,-0.184,1.595,0.913,-0.596,1.911,1.727
T12,"Simpson, Webb",-2,-2,1.184,0.122,0.956,-0.786,0.293,1.477
T12,"Cink, Stewart",-2,-1,0.798,0.163,0.729,-0.213,0.679,1.477
T12,"Harman, Brian",-2,2,0.756,-0.228,0.602,0.347,0.721,1.477
T12,"Kim, Si Woo",-2,0,0.155,-0.46,2.14,-0.358,1.322,1.477
T12,"Na, Kevin",-2,-1,1.802,0.122,-0.58,0.133,-0.325,1.477
T12,"MacIntyre, Robert",-2,0,0.909,0.851,-0.598,0.315,0.568,1.477
T18,"Scheffler, Scottie",-1,-1,-0.58,0.317,0.854,0.635,1.807,1.227
T18,"Morikawa, Collin",-1,-2,-0.143,0.147,0.612,0.611,1.37,1.227
T18,"Hatton, Tyrrell",-1,-4,0.014,1.038,0.242,-0.066,1.213,1.227
T21,"Thomas, Justin",0,1,-0.257,1.223,0.223,-0.213,1.234,0.977
T21,"Mickelson, Phil",0,0,-0.85,0.69,0.707,0.429,1.827,0.977
T21,"English, Harris",0,-2,0.758,0.036,0.035,0.147,0.219,0.977
T21,"Lowry, Shane",0,0,0.106,-0.224,1.487,-0.392,0.871,0.977
T21,"Hovland, Viktor",0,1,0.218,0.265,-0.789,1.283,0.759,0.977
T26,"Oosthuizen, Louis",1,-1,0.454,0.081,0.368,-0.175,0.273,0.727
T26,"Watson, Bubba",1,0,-0.433,-0.437,0.65,0.947,1.16,0.727
T26,"Poulter, Ian",1,-2,1.588,0.289,-0.607,-0.543,-0.861,0.727
T26,"Casey, Paul",1,-3,-0.572,0.594,1.064,-0.36,1.299,0.727
T26,"Jones, Matt",1,0,0.3,-0.109,0.459,0.077,0.427,0.727
T26,"Ancer, Abraham",1,-2,0.361,-0.902,0.855,0.413,0.366,0.727
T26,"Schwartzel, Charl",1,0,0.159,-0.84,0.742,0.666,0.568,0.727
T26,"Champ, Cameron",1,0,-0.503,-0.09,-0.121,1.441,1.23,0.727
T34,"Palmer, Ryan",2,3,0.472,-0.861,0.892,-0.025,0.005,0.477
T34,"Thompson, Michael",2,-1,-0.088,0.075,-0.25,0.74,0.565,0.477
T34,"Fitzpatrick, Matt",2,1,-0.384,-0.363,0.109,1.115,0.861,0.477
T34,"Wallace, Matt",2,1,-0.485,0.823,0.477,-0.338,0.962,0.477
T38,"Laird, Martin",3,2,-0.843,-0.26,1.9,-0.57,1.07,0.227
T38,"Stenson, Henrik",3,4,0.895,-0.026,-0.675,0.032,-0.668,0.227
T40,"Woodland, Gary",4,0,1.237,-0.788,-0.46,-0.012,-1.26,-0.023
T40,"Hughes, Mackenzie",4,4,-0.249,0.651,-0.48,0.056,0.226,-0.023
T40,"Niemann, Joaquin",4,4,0.585,-0.412,0.011,-0.207,-0.609,-0.023
T40,"Bezuidenhout, Christiaan",4,0,0.919,0.168,-0.905,-0.205,-0.942,-0.023
T40,"Wiesberger, Bernd",4,6,-0.618,0.848,-0.482,0.229,0.595,-0.023
T40,"Munoz, Sebastian",4,2,-0.204,-0.038,0.325,-0.106,0.181,-0.023
T46,"Fleetwood, Tommy",5,4,-0.543,0.125,0.49,-0.345,0.27,-0.273
T46,"DeChambeau, Bryson",5,3,-0.238,-0.804,-0.159,0.929,-0.035,-0.273
T46,"Todd, Brendon",5,1,-0.113,0.244,0.485,-0.889,-0.16,-0.273
49,"Kokrak, Jason",7,5,0.948,-0.907,-0.33,-0.484,-1.721,-0.773
T50,"Horschel, Billy",8,4,0.674,-0.384,-1.663,0.35,-1.697,-1.023
T50,"Olazabal, Jose Maria",8,3,1.231,0.554,-1.11,-1.698,-2.254,-1.023
52,"Molinari, Francesco",9,9,-0.591,0.146,-0.396,-0.432,-0.682,-1.273
53,"Herman, Jim",10,4,-1.267,-0.491,0.003,0.233,-0.256,-1.523
54,"Scott, Adam",11,1,0.064,-0.493,-1.696,0.353,-1.837,-1.773
CUT,"Homa, Max",4,null,-0.362,0.178,-0.509,0.119,-0.212,-0.574
CUT,"Berger, Daniel",4,null,-1.327,-0.381,1.126,0.009,0.753,-0.574
CUT,"Kuchar, Matt",4,null,-0.083,1.932,-1.55,-0.873,-0.491,-0.574
CUT,"Garcia, Sergio",4,null,-0.903,1.152,-0.052,-0.771,0.329,-0.574
CUT,"Walker, Jimmy",4,null,1.571,-0.546,-0.657,-0.942,-2.145,-0.574
CUT,"Johnson, Dustin",5,null,-1.726,0.553,-0.044,0.143,0.652,-1.074
CUT,"Koepka, Brooks",5,null,-0.871,-0.085,-0.832,0.713,-0.203,-1.074
CUT,"Kisner, Kevin",5,null,-1.386,0.431,-0.106,-0.012,0.312,-1.074
CUT,"Willett, Danny",5,null,0.754,0.513,-2.89,0.549,-1.828,-1.074
CUT,"Weir, Mike",5,null,0.149,-1.044,0.567,-0.745,-1.223,-1.074
CUT,"Griffin, Lanto",5,null,0.755,-1.041,-0.207,-0.581,-1.829,-1.074
CUT,"Westwood, Lee",5,null,-0.253,-1.18,-0.092,0.451,-0.821,-1.074
CUT,"McIlroy, Rory",6,null,0.468,-0.387,-1.659,0.005,-2.042,-1.574
CUT,"Streb, Robert",6,null,1.135,-0.906,-1.216,-0.587,-2.709,-1.574
CUT,"Pan, C.T.",6,null,-1.44,-0.603,0.155,0.315,-0.133,-1.574
CUT,"Frittelli, Dylan",6,null,-1.921,0.255,0.502,-0.409,0.347,-1.574
CUT,"Perez, Victor",7,null,-0.226,-1.899,-0.263,0.314,-1.848,-2.074
CUT,"Johnson, Zach",7,null,-0.269,-1.333,-0.212,-0.26,-1.805,-2.074
CUT,"Langer, Bernhard",7,null,0.094,-1.411,0.434,-1.191,-2.168,-2.074
CUT,"Gay, Brian",8,null,-0.31,0.515,-0.884,-1.894,-2.263,-2.574
