position,player_name,total_score,r4_score,sg_putt,sg_arg,sg_app,sg_ott,sg_t2g,sg_total
1,"Henley, Russell",-11,-2,0.907,1.593,0.303,0.378,2.274,3.18
2,"Morikawa, Collin",-10,0,-0.121,0.936,1.163,0.952,3.051,2.93
3,"Conners, Corey",-9,-1,0.712,0.81,0.729,0.429,1.968,2.68
4,"Kim, Michael",-8,-3,0.301,0.575,0.974,0.58,2.129,2.43
T5,"Bradley, Keegan",-7,-8,0.313,0.253,1.624,-0.01,1.867,2.18
T5,"Straka, Sepp",-7,-3,1.55,-0.32,1.151,-0.2,0.63,2.18
7,"Lowry, Shane",-6,-2,0.98,0.497,0.891,-0.438,0.95,1.93
T8,"Day, Jason",-5,2,1.442,-0.251,0.156,0.333,0.238,1.68
T8,"An, Byeong Hun",-5,-4,0.074,-0.243,0.978,0.87,1.606,1.68
T8,"Rose, Justin",-5,-3,1.29,-0.586,0.976,0,0.39,1.68
T11,"Fleetwood, Tommy",-4,-4,-0.034,0.258,0.641,0.566,1.465,1.43
T11,"Scheffler, Scottie",-4,-2,-1.329,0.975,0.111,1.672,2.759,1.43
T11,"MacIntyre, Robert",-4,-1,0.181,-0.155,0.624,0.78,1.249,1.43
T11,"Rai, Aaron",-4,-1,-0.049,0.583,0.613,0.283,1.479,1.43
T15,"McIlroy, Rory",-3,0,1.079,0.35,-0.611,0.362,0.101,1.18
T15,"Berger, Daniel",-3,-2,0.144,0.358,-0.05,0.727,1.036,1.18
T15,"Bridgeman, Jacob",-3,-4,0.521,0.597,-0.195,0.256,0.659,1.18
18,"McCarthy, Denny",-2,-5,1.775,-1.12,0.565,-0.289,-0.845,0.93
T19,"Bezuidenhout, Christiaan",-1,1,0.662,0.815,-0.411,-0.385,0.018,0.68
T19,"Im, Sungjae",-1,-2,0.56,0.535,-0.863,0.449,0.12,0.68
T19,"Kim, Si Woo",-1,0,0.028,1.502,-0.888,0.038,0.652,0.68
T22,"Kirk, Chris",0,-3,-0.538,0.446,-0.031,0.553,0.968,0.43
T22,"Fitzpatrick, Matt",0,0,1.806,-0.244,-1.014,-0.117,-1.375,0.43
T22,"Matsuyama, Hideki",0,-3,-0.734,1.415,-0.543,0.292,1.164,0.43
T22,"Hughes, Mackenzie",0,1,0.459,0.24,-0.477,0.208,-0.029,0.43
T22,"Rodgers, Patrick",0,-2,-0.046,0.153,0.235,0.088,0.476,0.43
T22,"Clark, Wyndham",0,2,-0.435,0.813,0.083,-0.03,0.865,0.43
T22,"Zalatoris, Will",0,-3,-1.524,-0.039,1.073,0.92,1.954,0.43
T22,"Greyserman, Max",0,0,0.773,0.654,-0.752,-0.245,-0.343,0.43
T22,"Aberg, Ludvig",0,-4,0.503,-0.85,-0.597,1.373,-0.073,0.43
T31,"Cantlay, Patrick",1,-3,-0.268,0.329,0.769,-0.65,0.448,0.18
T31,"Taylor, Nick",1,1,-0.568,-0.22,0.927,0.041,0.748,0.18
T31,"Spaun, J.J.",1,-2,-0.959,-0.493,1.258,0.374,1.138,0.18
T34,"Eckroat, Austin",2,-1,0.008,-0.747,0.075,0.594,-0.078,-0.07
T34,"Novak, Andrew",2,6,0.172,0.394,-1.201,0.565,-0.242,-0.07
T36,"Thomas, Justin",3,4,-1.324,0.18,0.259,0.564,1.004,-0.32
T36,"Finau, Tony",3,8,0.141,-0.894,-0.096,0.528,-0.461,-0.32
T36,"Glover, Lucas",3,1,-1.071,-0.371,1.177,-0.056,0.751,-0.32
T36,"Scott, Adam",3,2,0.476,-0.707,-0.431,0.342,-0.796,-0.32
T40,"Schauffele, Xander",4,-3,-0.065,-1.273,0.568,0.201,-0.505,-0.57
T40,"Hoge, Tom",4,5,1.062,-0.684,0.1,-1.047,-1.632,-0.57
T40,"Harman, Brian",4,0,-0.4,-0.006,0.593,-0.757,-0.169,-0.57
T40,"McGreevy, Max",4,-1,-0.021,-1.622,0.827,0.245,-0.549,-0.57
T40,"Stevens, Sam",4,-2,-0.727,-0.373,0.246,0.284,0.157,-0.57
T45,"Hadwin, Adam",5,1,-0.068,0.437,-0.391,-0.798,-0.752,-0.82
T45,"Griffin, Ben",5,2,0.808,0.292,-1.245,-0.675,-1.628,-0.82
T45,"Salinda, Isaiah",5,1,-0.853,0.066,-0.869,0.836,0.033,-0.82
T48,"Burns, Sam",6,2,1.481,0.504,-2.395,-0.66,-2.55,-1.07
T48,"Koivun, Jackson",6,3,0.631,-0.98,-1.052,0.331,-1.701,-1.07
T50,"Poston, J.T.",7,1,-2.447,-0.191,1.301,0.017,1.127,-1.32
T50,"Cole, Eric",7,2,-0.517,0.779,-0.567,-1.015,-0.803,-1.32
CUT,"Hovland, Viktor",5,null,-3.027,-0.305,2.135,-0.012,1.819,-1.208
CUT,"Detry, Thomas",5,null,-1.408,0.192,-0.575,0.582,0.2,-1.208
CUT,"Highsmith, Joe",5,null,0.521,-0.526,-0.566,-0.637,-1.729,-1.208
CUT,"English, Harris",6,null,-3.077,-0.077,0.803,0.643,1.369,-1.708
CUT,"Thompson, Davis",6,null,-2.174,0.978,0.226,-0.738,0.466,-1.708
CUT,"Davis, Cam",6,null,1.393,-1.012,-1.186,-0.904,-3.102,-1.708
CUT,"Jaeger, Stephan",6,null,1.353,-0.629,-1.502,-0.929,-3.061,-1.708
