position,player_name,total_score,r4_score,sg_putt,sg_arg,sg_app,sg_ott,sg_t2g,sg_total
1,"Lee, Min Woo",-20,-3,2.178,0.562,0.994,-0.048,1.508,3.686
T2,"Woodland, Gary",-19,-8,2.185,-0.277,0.978,0.55,1.251,3.436
T2,"Scheffler, Scottie",-19,-7,1.774,0.03,1.127,0.504,1.662,3.436
4,"Valimaki, Sami",-17,-8,0.446,0.069,2.022,0.4,2.49,2.936
T5,"McIlroy, Rory",-15,-6,0.544,0.684,0.544,0.664,1.891,2.436
T5,"Clark, Wyndham",-15,-6,1.06,0.183,0.465,0.727,1.375,2.436
T5,"Pendrith, Taylor",-15,-5,1.255,-0.299,0.689,0.791,1.181,2.436
T5,"Tosti, Alejandro",-15,-2,0.368,0.291,1.187,0.589,2.068,2.436
9,"Gerard, Ryan",-14,-2,0.545,-0.252,1.893,0,1.64,2.186
10,"Hughes, Mackenzie",-13,-4,0.239,0.834,0.034,0.829,1.697,1.936
T11,"Jaeger, Stephan",-12,-3,0.273,0.414,1.464,-0.466,1.412,1.686
T11,"Hodges, Lee",-12,-5,0.49,0.237,0.619,0.339,1.196,1.686
T11,"Salinda, Isaiah",-12,-3,0.463,-0.214,1.071,0.367,1.223,1.686
T11,"Hoey, Rico",-12,-6,0.592,0.689,-0.304,0.708,1.094,1.686
T15,"Cole, Eric",-11,-5,0.402,0.723,0.482,-0.171,1.034,1.436
T15,"Springer, Hayden",-11,-2,0.596,0.037,0.631,0.171,0.839,1.436
T15,"Fox, Ryan",-11,1,0.493,0.031,0.447,0.464,0.943,1.436
T18,"Perez, Victor",-10,-5,0.609,0.326,-0.024,0.274,0.577,1.186
T18,"Griffin, Ben",-10,-5,-0.869,0.626,1.517,-0.088,2.055,1.186
T18,"English, Harris",-10,-2,1.615,0.134,-1.081,0.518,-0.429,1.186
T18,"Mitchell, Keith",-10,1,0.027,-0.245,0.804,0.599,1.158,1.186
T18,"Dahmen, Joel",-10,-4,1.069,0.261,-0.36,0.216,0.116,1.186
T18,"Stevens, Sam",-10,-5,-0.08,1.468,-0.335,0.133,1.265,1.186
T18,"Hall, Harry",-10,-5,1.144,0.326,-0.504,0.219,0.042,1.186
T18,"Yu, Kevin",-10,-1,-0.409,0.234,1.172,0.189,1.595,1.186
T18,"Gotterup, Chris",-10,-4,0.072,0.455,0.046,0.613,1.114,1.186
T27,"Day, Jason",-9,-4,0.219,0.811,-0.392,0.299,0.717,0.936
T27,"Thompson, Davis",-9,1,0.075,-0.522,1.649,-0.267,0.861,0.936
T27,"Knapp, Jake",-9,1,0.321,-0.289,0.395,0.508,0.615,0.936
