position,player_name,total_score,r4_score,sg_putt,sg_arg,sg_app,sg_ott,sg_t2g,sg_total
1,"McIlroy, Rory",-12,-4,1.244,-0.191,1.943,0.657,2.409,3.654
2,"Spaun, J.J.",-12,0,0.282,1.124,1.408,0.839,3.371,3.654
T3,"Bhatia, Akshay",-10,-2,1.126,0.181,1.395,0.452,2.028,3.154
T3,"Hoge, Tom",-10,-6,0.619,-0.29,2.46,0.364,2.534,3.154
T3,"Glover, Lucas",-10,-1,0.733,1.227,0.613,0.581,2.421,3.154
T6,"Conners, Corey",-9,-1,0.746,0.386,0.296,1.475,2.157,2.904
T6,"Cauley, Bud",-9,2,1.555,0.403,0.103,0.842,1.348,2.904
T6,"Walker, Danny",-9,-2,0.05,0.303,0.903,1.647,2.854,2.904
9,"MacIntyre, Robert",-8,-3,0.402,1.005,1.474,-0.228,2.251,2.654
T10,"Morikawa, Collin",-7,-3,-0.515,0.13,2.019,0.769,2.918,2.404
T10,"Thompson, Davis",-7,-2,0.771,-0.099,0.743,0.989,1.632,2.404
T12,"Cantlay, Patrick",-6,1,0.532,0.025,0.599,0.997,1.621,2.154
T12,"Knapp, Jake",-6,1,2.29,0.195,0.415,-0.746,-0.137,2.154
T14,"Fleetwood, Tommy",-5,-1,0.094,0.261,1.307,0.241,1.809,1.904
T14,"McCarthy, Denny",-5,-1,1.25,-0.097,0.528,0.222,0.653,1.904
T14,"Rai, Aaron",-5,-3,0.704,-0.379,0.352,1.226,1.199,1.904
T14,"Straka, Sepp",-5,2,0.023,0.44,1.113,0.327,1.88,1.904
T14,"Ryder, Sam",-5,0,1.77,-0.435,-0.105,0.674,0.134,1.904
T14,"Smalley, Alex",-5,4,-0.273,1.496,0.316,0.364,2.176,1.904
T20,"Scheffler, Scottie",-4,1,0.011,-0.114,1.048,0.708,1.642,1.654
T20,"Lee, Min Woo",-4,1,1.654,-0.23,0.549,-0.32,-0.001,1.654
T20,"Jaeger, Stephan",-4,3,1.078,0.403,1.276,-1.103,0.575,1.654
T20,"Lowry, Shane",-4,-5,-0.524,0.194,2.093,-0.11,2.178,1.654
T20,"Bradley, Keegan",-4,-2,0.651,-0.427,0.832,0.598,1.002,1.654
T20,"Berger, Daniel",-4,0,1.009,0.713,0.572,-0.641,0.644,1.654
T20,"McGreevy, Max",-4,3,-1.001,-0.214,1.393,1.475,2.655,1.654
T20,"Fox, Ryan",-4,-2,1.364,-0.053,0.158,0.184,0.289,1.654
T20,"Highsmith, Joe",-4,-2,0.948,0.209,0.44,0.056,0.705,1.654
T20,"McCarty, Matt",-4,-2,0.066,-0.02,0.508,1.099,1.587,1.654
T30,"Zalatoris, Will",-3,-1,0.872,-0.545,1.276,-0.2,0.531,1.404
T30,"Henley, Russell",-3,-3,-0.235,0.434,0.851,0.353,1.638,1.404
T30,"English, Harris",-3,-1,0.367,-0.051,0.509,0.578,1.037,1.404
T33,"Thomas, Justin",-2,1,1.167,0.173,0.516,-0.703,-0.013,1.154
T33,"Poston, J.T.",-2,4,1.427,-0.513,0.108,0.131,-0.274,1.154
T33,"Moore, Taylor",-2,2,-0.397,0.07,0.975,0.506,1.551,1.154
T33,"Kitayama, Kurt",-2,-6,0.289,0.889,-0.327,0.302,0.864,1.154
T33,"Hoey, Rico",-2,-6,-1.782,0.09,1.19,1.655,2.935,1.154
T38,"Pendrith, Taylor",-1,3,1.543,-0.66,0.303,-0.282,-0.64,0.904
T38,"Kim, Si Woo",-1,-4,-0.593,1.016,0.262,0.218,1.497,0.904
T38,"Riley, Davis",-1,2,0.223,0.406,0.483,-0.209,0.68,0.904
T38,"Lower, Justin",-1,1,0.519,-0.963,0.763,0.584,0.384,0.904
T42,"Kirk, Chris",0,5,1.012,-0.337,0.345,-0.366,-0.359,0.654
T42,"Horschel, Billy",0,1,1.607,-0.014,-1.601,0.661,-0.954,0.654
T42,"Kim, Tom",0,4,-1.233,-0.171,2.47,-0.412,1.887,0.654
T42,"Kuchar, Matt",0,1,0.189,0.497,-0.203,0.169,0.464,0.654
T42,"Springer, Hayden",0,0,0.499,-0.189,-0.044,0.388,0.154,0.654
T42,"Meissner, Mac",0,3,0.7,0.425,-0.776,0.304,-0.047,0.654
T42,"Gerard, Ryan",0,6,1.149,-1.3,0.551,0.253,-0.496,0.654
T42,"Svensson, Jesper",0,2,0.931,1.255,-1.414,-0.119,-0.277,0.654
T50,"Hossler, Beau",1,1,0.629,0.844,-0.872,-0.196,-0.225,0.404
T50,"Bridgeman, Jacob",1,3,-0.01,-0.264,0.83,-0.152,0.413,0.404
T52,"An, Byeong Hun",2,0,-0.072,-0.127,-0.422,0.774,0.225,0.154
T52,"Theegala, Sahith",2,1,0.379,0.116,-0.098,-0.245,-0.226,0.154
T54,"Pavon, Matthieu",3,1,0.276,-1.411,1.444,-0.406,-0.372,-0.096
T54,"Dahmen, Joel",3,3,-1.344,0.577,0.062,0.609,1.248,-0.096
T54,"Villegas, Camilo",3,2,0.548,1.003,-1.04,-0.607,-0.645,-0.096
T54,"Hoffman, Charley",3,1,-0.629,-0.244,0.429,0.347,0.532,-0.096
T54,"Young, Carson",3,1,-1.288,-0.53,0.837,0.884,1.192,-0.096
59,"Spieth, Jordan",4,6,-0.966,1.33,-1.278,0.568,0.619,-0.346
60,"Vegas, Jhonattan",5,1,-1.74,0.34,0.752,0.052,1.143,-0.596
T61,"Eckroat, Austin",6,6,-1.057,0.771,-0.842,0.281,0.211,-0.846
T61,"Im, Sungjae",6,4,-0.251,0.735,-1.611,0.28,-0.596,-0.846
T61,"Young, Cameron",6,1,0.15,-0.004,0.114,-1.107,-0.997,-0.846
T61,"Mullinax, Trey",6,1,-0.062,-0.581,0.032,-0.235,-0.784,-0.846
T61,"Phillips, Chandler",6,5,-0.643,-0.714,0.762,-0.252,-0.204,-0.846
T61,"Chandler, Will",6,5,-0.358,-0.071,-0.8,0.383,-0.489,-0.846
67,"Grillo, Emiliano",7,0,-0.329,-0.686,-0.317,0.235,-0.768,-1.096
68,"Salinda, Isaiah",8,6,-0.783,0.334,-1.479,0.583,-0.563,-1.346
T69,"Pan, C.T.",9,5,-1.22,-0.161,-0.294,0.078,-0.377,-1.596
T69,"Valimaki, Sami",9,2,-0.125,-1.066,0.951,-1.357,-1.472,-1.596
71,"Fowler, Rickie",12,7,-0.53,-0.366,-1.096,-0.355,-1.816,-2.346
72,"Schauffele, Xander",13,9,-1.233,0.073,-0.144,-1.293,-1.363,-2.596
CUT,"Matsuyama, Hideki",0,null,-0.845,0.859,-0.783,0.64,0.715,-0.13
CUT,"Rose, Justin",0,null,0.084,0.096,-0.007,-0.303,-0.215,-0.13
CUT,"Malnati, Peter",0,null,0.059,-0.476,1.46,-1.173,-0.19,-0.13
CUT,"Kim, Michael",0,null,-0.135,0.911,0.114,-1.022,0.004,-0.13
CUT,"Norlander, Henrik",0,null,1.235,-0.556,1.256,-2.065,-1.365,-0.13
CUT,"Lipsky, David",0,null,1.244,0.649,-1.075,-0.95,-1.375,-0.13
CUT,"Kohles, Ben",0,null,-1.323,0.047,1.516,-0.37,1.193,-0.13
CUT,"Castillo, Ricky",0,null,-1.536,1.441,-1.476,1.44,1.405,-0.13
