position,player_name,total_score,r4_score,sg_putt,sg_arg,sg_app,sg_ott,sg_t2g,sg_total
1,"Harman, Brian",-9,3,1.326,0.439,1.538,-0.072,1.905,3.231
2,"Gerard, Ryan",-6,-3,1.907,1.486,-0.127,-0.785,0.574,2.481
T3,"McNealy, Maverick",-5,0,1.12,-0.112,0.634,0.59,1.111,2.231
T3,"Novak, Andrew",-5,4,0.815,0.082,0.989,0.346,1.417,2.231
T5,"Hoge, Tom",-4,4,0.547,1.013,0.566,-0.144,1.435,1.981
T5,"Ramey, Chad",-4,2,1.287,0.472,0.142,0.08,0.694,1.981
T5,"Cauley, Bud",-4,-2,0.561,-0.274,1.131,0.563,1.42,1.981
T5,"Olesen, Thorbjorn",-4,-4,-0.089,-0.042,1.096,1.016,2.07,1.981
T5,"Kim, Chan",-4,-1,0.227,0.747,1.087,-0.08,1.754,1.981
T5,"Fishburn, Patrick",-4,-4,0.667,-0.168,1.208,0.275,1.314,1.981
T5,"Hisatsune, Ryo",-4,2,0.608,0.273,0.056,1.043,1.373,1.981
T12,"Spieth, Jordan",-3,0,1.251,0.534,-0.107,0.053,0.48,1.731
T12,"Norlander, Henrik",-3,1,1.173,-0.698,1.258,-0.002,0.559,1.731
T12,"Mitchell, Keith",-3,4,0.561,0.174,0.442,0.555,1.171,1.731
T12,"Lashley, Nate",-3,-2,0.432,0.62,0.723,-0.044,1.299,1.731
T12,"Tosti, Alejandro",-3,1,-1.097,0.897,0.911,1.02,2.828,1.731
T12,"Valimaki, Sami",-3,3,0.116,0.416,1.21,-0.011,1.615,1.731
T18,"Kuchar, Matt",-2,-1,0.818,0.514,0.273,-0.124,0.663,1.481
T18,"Conners, Corey",-2,2,-0.235,0.557,0.23,0.929,1.716,1.481
T18,"McCarthy, Denny",-2,3,2.107,0.658,-0.903,-0.382,-0.626,1.481
T18,"Grillo, Emiliano",-2,2,0.296,0.042,0.538,0.605,1.185,1.481
T18,"Young, Cameron",-2,-1,0.584,-0.112,0.138,0.872,0.897,1.481
T18,"Ghim, Doug",-2,0,-0.298,0.498,0.451,0.83,1.779,1.481
T18,"Johnson, Zach",-2,2,0.934,0.067,-0.036,0.516,0.547,1.481
T18,"Phillips, Chandler",-2,0,0.894,0.712,-0.346,0.222,0.587,1.481
T26,"Poston, J.T.",-1,0,0.194,1.02,-0.439,0.457,1.038,1.231
T26,"Wallace, Matt",-1,1,0.234,0.93,-0.049,0.117,0.998,1.231
T26,"Cole, Eric",-1,-1,1.214,0.491,0.083,-0.556,0.017,1.231
T26,"Hall, Harry",-1,2,-0.274,-0.563,1.702,0.366,1.505,1.231
T30,"Berger, Daniel",0,1,0.376,0.048,0.284,0.273,0.605,0.981
T30,"Fowler, Rickie",0,3,0.102,0.77,-0.031,0.141,0.88,0.981
T30,"Higgs, Harry",0,3,0.719,-1.249,0.02,1.491,0.262,0.981
T33,"Cantlay, Patrick",1,5,-0.586,-0.319,1.421,0.215,1.318,0.731
T33,"Fisk, Steven",1,3,-0.011,-0.182,0.256,0.667,0.742,0.731
T33,"James, Ben",1,4,-1.719,0.529,1.338,0.583,2.45,0.731
T33,"Rozner, Antoine",1,4,0.017,0.187,1.419,-0.892,0.715,0.731
T33,"Cummins, Quade",1,4,0.052,-0.338,0.546,0.471,0.679,0.731
T33,"Mouw, William",1,4,-0.024,-0.162,0.168,0.75,0.756,0.731
T33,"Svensson, Jesper",1,2,0.754,0.261,-1.425,1.141,-0.023,0.731
T40,"Woodland, Gary",2,0,-0.254,-1.21,0.216,1.728,0.735,0.481
T40,"Griffin, Ben",2,2,-0.494,-0.398,0.499,0.873,0.975,0.481
T40,"Molinari, Francesco",2,6,-0.925,0.071,1.05,0.286,1.406,0.481
T40,"Ryder, Sam",2,4,0.997,0.409,-0.716,-0.209,-0.516,0.481
T40,"Griffin, Lanto",2,2,0.244,-0.583,0.941,-0.12,0.237,0.481
T40,"Young, Carson",2,4,1.331,-0.867,-0.121,0.139,-0.849,0.481
T40,"Roy, Kevin",2,2,-0.083,0.47,-0.289,0.383,0.564,0.481
T47,"Bradley, Keegan",3,5,-1.767,1.63,0.472,-0.103,1.998,0.231
T47,"Rose, Justin",3,4,0.427,-0.637,0.276,0.165,-0.196,0.231
T47,"Svensson, Adam",3,6,0.112,1.295,-1.679,0.504,0.119,0.231
T47,"Potgieter, Aldrich",3,4,0.245,-0.604,1.065,-0.476,-0.014,0.231
T47,"Campos, Rafael",3,2,0.258,0.511,-0.771,0.234,-0.027,0.231
T52,"Martin, Ben",4,4,-0.121,-0.216,0.192,0.127,0.103,-0.019
T52,"Meissner, Mac",4,6,1.36,-0.453,0.065,-0.991,-1.379,-0.019
T52,"Pak, John",4,5,0.455,-0.005,0.791,-1.26,-0.474,-0.019
