position,player_name,total_score,r4_score,sg_putt,sg_arg,sg_app,sg_ott,sg_t2g,sg_total
1,"Hovland, Viktor",-11,-4,1.839,-0.392,1.469,0.489,1.566,3.405
2,"Thomas, Justin",-10,-5,1.702,0.416,0.731,0.306,1.454,3.155
3,"Bridgeman, Jacob",-9,-2,1.955,0.774,-0.168,0.345,0.95,2.905
T4,"Horschel, Billy",-8,-4,0.708,0.445,0.881,0.622,1.948,2.655
T4,"Cauley, Bud",-8,-5,0.213,-0.044,2.011,0.474,2.442,2.655
T4,"Hisatsune, Ryo",-8,-3,1.202,0.243,0.618,0.591,1.453,2.655
7,"Riley, Davis",-7,-2,-0.247,1.573,1.678,-0.599,2.652,2.405
T8,"Conners, Corey",-6,-2,0.334,0.149,0.991,0.682,1.821,2.155
T8,"Power, Seamus",-6,-5,0.836,0.411,0.139,0.768,1.319,2.155
T8,"Lowry, Shane",-6,-1,-0.132,0.081,0.994,1.212,2.287,2.155
T8,"Glover, Lucas",-6,-3,0.37,0.087,1.101,0.597,1.784,2.155
T12,"Schauffele, Xander",-5,-5,-0.329,0.063,2.819,-0.648,2.234,1.905
T12,"Cole, Eric",-5,-4,0.809,0.038,1.153,-0.095,1.096,1.905
T12,"Yu, Kevin",-5,0,-0.103,0.108,0.695,1.205,2.008,1.905
T12,"Castillo, Ricky",-5,1,1.183,0.756,0.462,-0.496,0.722,1.905
T16,"Fleetwood, Tommy",-4,-2,1.465,-0.014,-0.496,0.7,0.19,1.655
T16,"An, Byeong Hun",-4,0,0.225,0.809,0.036,0.585,1.43,1.655
T16,"Ryder, Sam",-4,-2,1.1,-0.35,0.665,0.241,0.555,1.655
T16,"Norlander, Henrik",-4,-1,0.376,-0.174,0.938,0.516,1.279,1.655
T16,"Echavarria, Nico",-4,3,1.315,-0.01,0.486,-0.136,0.34,1.655
T16,"McCarty, Matt",-4,-2,0.835,0.113,0.097,0.61,0.82,1.655
T22,"Grillo, Emiliano",-3,1,1.079,-0.322,-0.279,0.927,0.326,1.405
T22,"Perez, Victor",-3,-2,0.773,-0.106,0.863,-0.125,0.632,1.405
T22,"Detry, Thomas",-3,-4,0.502,0.279,0.78,-0.155,0.903,1.405
T22,"Highsmith, Joe",-3,1,0.75,0.181,0.538,-0.064,0.655,1.405
T22,"Paul, Jeremy",-3,2,0.571,-0.016,-0.059,0.908,0.833,1.405
T22,"Neergaard-Petersen, Rasmus",-3,-3,-0.86,0.352,1.255,0.658,2.265,1.405
T28,"Poston, J.T.",-2,1,0.726,0.385,0.096,-0.051,0.429,1.155
T28,"Kim, Michael",-2,-3,0.448,0.183,0.253,0.271,0.707,1.155
T28,"Straka, Sepp",-2,-3,-0.242,-0.022,1.397,0.022,1.397,1.155
T28,"Spieth, Jordan",-2,1,0.065,-0.463,1.9,-0.348,1.09,1.155
T28,"Schmid, Matti",-2,-1,0.193,0.626,0.094,0.241,0.962,1.155
T28,"Meissner, Mac",-2,-3,-0.472,0.052,1.888,-0.312,1.627,1.155
T28,"Fishburn, Patrick",-2,1,1.327,-0.058,-0.336,0.223,-0.172,1.155
T28,"Fisk, Steven",-2,-3,0.29,0.498,0.976,-0.609,0.866,1.155
T36,"Hughes, Mackenzie",-1,-1,0.293,0.356,0.033,0.223,0.612,0.905
T36,"Jaeger, Stephan",-1,1,-0.198,0.702,0.213,0.188,1.103,0.905
T36,"Theegala, Sahith",-1,1,0.435,0.284,-0.326,0.512,0.47,0.905
T36,"Kim, Tom",-1,-2,-0.32,0.084,0.896,0.245,1.225,0.905
T36,"Olesen, Thorbjorn",-1,-2,-0.068,0.441,0.229,0.303,0.973,0.905
T36,"Valimaki, Sami",-1,0,0.846,-0.855,1.057,-0.142,0.06,0.905
T42,"Novak, Andrew",0,4,-0.342,0.558,0.068,0.372,0.997,0.655
T42,"Phillips, Chandler",0,1,-0.318,-0.053,0.988,0.038,0.973,0.655
T42,"Onishi, Kaito",0,2,0.054,-0.247,0.536,0.312,0.602,0.655
T42,"Goodwin, Noah",0,2,1.238,0.137,-0.782,0.062,-0.583,0.655
