metadata_type,text
weather_day1,"Mainly clear skies and cool conditions to start the day with temperatures dipping into the upper 40s by daybreak. Otherwise, it will be a warmer afternoon with highs in the mid-70s and increasing clouds. An approaching cold front will provide likely chances for showers and thunderstorms after 10:00 p.m. tonight. Thunderstorms will transition into showers overnight and coming to an end between 5:00 a.m. and 8:00 a.m. A few showers and isolated weak thunderstorms may develop after 2:00 p.m. Friday as upper-level energy rotates overhead. Cooler temperatures return Saturday with isolated showers possibly developing Saturday afternoon as this upper-level energy lingers before moving away. Cool and dry conditions can be expected for Sunday’s final round with sunny skies and highs in the low 70s.

Today's Forecast
7:00 a.m.
Clear and cool.
Temp: 49°F
RH: 95%
Winds: ESE 3-6 mph

9:00 a.m.
Mostly sunny.
Temp: 55°F
RH: 85%
Winds: ESE 4-8 mph

11:00 a.m.
Mostly sunny.
Temp: 65°F
RH: 65%
Winds: S 6-12 mph

1:00 p.m.
Partly cloudy.
Temp: 71°F
RH: 50%
Winds: S 6-12 mph

3:00 p.m.
Partly cloudy and breezy.
Temp: 74°F
RH: 40%
Winds: SSW 10-15 mph

5:00 p.m.
Mostly cloudy and breezy.
Temp: 76°F
RH: 37%
Winds: SW 10-15 G 20 mph

Extended Outlook
Friday
Mostly cloudy becoming partly cloudy in the afternoon. Breezy. 60% chance of showers through 8:00 a.m. 30% chance of showers and isolated thunderstorms after 2:00 p.m. Forecast rainfall 10:00 p.m. Thursday through 8:00 a.m. Friday: 0.20” – 0.40”.
Low: 53°F
High: 71°F
Winds: W shifting NW 12-15 G 20-25 mph

Saturday
Sunny becoming partly cloudy with a 20% chance for an afternoon shower.
Low: 47°F
High: 67°F
Winds: NNW 6-12 mph

Sunday
Mostly sunny.
Low: 46°F
High: 71°F
Winds: Variable 3-7 mph in the morning becoming NW 5-10 mph

Sunrise: 7:03 a.m. / Sunset: 7:54 p.m."
weather_day2,"Clouds will gradually decrease this morning, becoming partly cloudy to mostly sunny for a portion of the late morning to early afternoon. Skies will become a mix of sun and clouds after 2:00 p.m. as a few showers and thunderstorms pop-up with upper-level energy rotating overhead. Westerly winds will increase to 12-20 mph along with gusts in the 22-27 mph range from late morning through the afternoon. Cooler temperatures are forecast Saturday with isolated showers possibly developing Saturday afternoon as upper-level energy lingers for one more day. Cool and dry conditions can be expected for Sunday’s final round with sunny skies and highs in the low 70s.

Today's Forecast
9:00 a.m.
Decreasing clouds and breezy.
Temp: 57°F
RH: 90%
Winds: W 10-15 G 18 mph

11:00 a.m.
Mostly sunny and breezy.
Temp: 64°F
RH: 70%
Winds: W 12-16 G 22 mph

1:00 p.m.
Partly cloudy and breezy.
Temp: 69°F
RH: 55%
Winds: W 14-18 G 25 mph

3:00 p.m.
30% chance of a shower or storm.
Temp: 70°F
RH: 40%
Winds: W 15-20 G 27 mph

5:00 p.m.
35% chance of a shower or storm.
Temp: 69°F
RH: 40%
Winds: W 15-20 G 27 mph

7:00 p.m.
30% chance of a shower or storm.
Temp: 66°F
RH: 45%
Winds: W 12-16 G 22 mph

Extended Outlook
Saturday
Sunny becoming partly cloudy with a slight chance for an afternoon shower.
Low: 46°F
High: 69°F
Winds: N 5-10 in the morning becoming NW 7-12 mph

Sunday
Mostly sunny.
Low: 44°F
High: 72°F
Winds: NE 3-6 in the morning becoming WSW 5-10 mph

Sunrise: 7:02 a.m. / Sunset: 7:56 p.m.
"
weather_day3,"Temperatures are currently in the upper 40s and will gradually warm through the 50s as we head towards mid-day. Sunny skies will give way to partly cloudy skies by late morning with a mix of sun and clouds continuing through the afternoon. The air is much drier compared to yesterday and will help suppress shower development today. However, very cold air aloft may be able to squeeze out a rogue shower late afternoon into the early evening. After a cold start Sunday morning, sunny skies will help temperatures warm into the low 70s for the final round. Above normal temperatures quickly returns Monday with highs reaching the mid-80s with sunny skies.

Today's Forecast
9:00 a.m.
Sunny.
Temp: 52°F
RH: 65%
Winds: NNE 4-8 mph

11:00 a.m.
Mostly sunny.
Temp: 59°F
RH: 50%
Winds: NNE 4-8 mph

1:00 p.m.
Partly cloudy.
Temp: 64°F
RH: 40%
Winds: NNW 5-10 mph

3:00 p.m.
A mix of sun and clouds.
Temp: 67°F
RH: 35%
Winds: NNW 5-10 mph

5:00 p.m.
A mix of sun and clouds.
Temp: 68°F
RH: 30%
Winds: NW 5-10 mph

7:00 p.m.
Partly cloudy.
Temp: 66°F
RH: 35%
Winds: NNW 4-8 mph

Extended Outlook
Sunday
Mostly sunny.
Low: 44°F
High: 72°F
Winds: NE 3-6 in the morning becoming WSW 5-10 mph

Monday
Mostly sunny, breezy and much warmer.
Low: 52°F
High: 85°F
Winds: N 5-10 in the morning becoming SW 10-15 mph

Sunrise: 6:59 a.m. / Sunset: 7:56 p.m."
weather_day4,"Temperatures are starting off in the 40s and will gradually reach a high in the low 70s this afternoon under sunny to mostly sunny skies. Winds will remain light throughout the day, with northeasterly winds this morning shifting westerly in the afternoon. Above-average temperatures and breezy southwesterly winds are forecast to occur on Monday.

Today's Forecast
9:00 a.m.
Sunny.
Temp: 50°F
RH: 55%
Winds: NE 3-6 mph

11:00 a.m.
Mostly sunny.
Temp: 58°F
RH: 35%
Winds: NE 3-6 mph

1:00 p.m.
Mostly sunny.
Temp: 64°F
RH: 30%
Winds: NW 3-6 mph

3:00 p.m.
Sunny.
Temp: 69°F
RH: 25%
Winds: W 4-8 mph

5:00 p.m.
Sunny.
Temp: 71°F
RH: 25%
Winds: W 4-8 mph

7:00 p.m.
Sunny.
Temp: 70°F
RH: 30%
Winds: W 4-8 mph

Extended Outlook
Monday
Mostly sunny, breezy and much warmer.
Low: 50°F
High: 85°F
Winds: SW 5-10 increasing to 10-15 gusting to 20 mph

Sunrise: 6:59 a.m. / Sunset: 7:57 p.m."
course_overview,"The summer of 2024 dealt Augusta National one of its biggest challenges ever in the form of Hurricane Helene, which devastated large parts of the interior south. According to the National Hurricane Center, Helene wiped out almost 400 homes and dealt significant damage to more than 6,000 more. Augusta National was not spared, either, losing an unknown but reportedly significant amount of trees. Pros who have visited the course in the lead-up to the 2025 Masters have remarked on a slightly roomier feel in some places. After a March scouting trip, Rory McIlroy mentioned that four of Augusta National's greens have been resurfaced ahead of this year's tournament. One of them, the 16th, was described by 2018 Masters champion Patrick Reed as ""completely destroyed"" by felled trees and flooding after Helene, but it has been rebuilt exactly as it was before. Tees and green surrounds: 5/16""
Fairways: 3/8""
Second cut: 1 3/8""
Collars: 1/4""
Greens: 1/8"". Par 72, 7,520 yards"
hole1,"No gentle handshake here. The opening hole at Augusta National is historically the sixth-toughest on the course, with an all-time scoring average of a quarter-shot over par. Players hit into an upslope, which tempers any chance of significant rollout, and the opposite positioning of the hole's two bunkers - fairway bunker on the right, greenside bunker on the left - make it something of a ""switchback"" hole, immediately testing a player's comfort with working the ball both ways. Like many greens on the course, the putting surface sheds marginal shots down into chipping areas and features distinct sections. It took Ernie Els seven putts - six of them within three feet - to hole out here in the first round of the 2016 Masters."
hole2,"This downhill, sweeping dogleg-left offers a great chance for a birdie or eagle if players can skirt both the lone fairway bunker to the right and the forested ravine to the left. Two greenside bunkers pinch the opening of the angled, T-shaped green, which falls from short-left down to the back-right corner, where the traditional Sunday hole location sits. The tilt of the putting surface is such that well-calibrated approaches can drift down from the front corner of the green on a 30-yard journey toward the cup. In 2012, Louis Oosthuizen pulled this shot off to perfection, making a 2 en route to his runner-up finish to Bubba Watson in the year's memorable playoff."
hole3,"Although recent increases in driving distance have prompted changes to several holes at Augusta National and other great championship golf courses, there is a case to be made that this hole has become more intriguing as a result. Players can lay back next to a nest of four fairway bunkers and leave a full wedge, or they can elect to drive the ball close to the small, right-to-left-tilting green, but at the risk of leaving themselves an extremely delicate uphill pitch if they stray left. When the cup is located on the green's shallow front-left lobe, it is not uncommon to see players miss the green from as close as 30 yards. What the hole lacks in length, it makes up in guile and demands on every player's powers of precision."
hole4,"The longest par 3 on the golf course plays downhill to an L-shaped green with two large bunkers lapping at its edges. When the hole is cut close over the right-front bunker, it can seem impossible to access, but a backstop exists that can gather the ball close if a player judges everything correctly. Phil Mickelson's bid to win the 2012 Masters ended here when he made a triple-bogey 6."
hole5,"Bobby Jones and Alister MacKenzie were both inspired by the Old Course at St. Andrews when they set out to create Augusta National. This hole's green complex invokes the famous Road Hole, the legendary 17th hole of the ancient links. It is long and difficult like its inspiration, with a green that is very difficult to hold because of a massive false front that rejects anything but a soaring approach. Merely having a chance to attack this green is far from certain, as two yawning fairway bunkers squeeze the fairway on the left off the tee."
hole6,"Multifaceted greens are a major theme at Augusta National, and this downhill par 3's putting surface is eclectic, and can make the hole play dramatically different one day to the next. When the hole is located on the small back-left tier, it can seem like one must hit a mid-iron onto a car hood. When it is located in the lower-left portion of the green, holes-in-one are not out of the question, like the one Corey Conners made in the final round of the 2021 Masters."
hole7,"In the several rounds of changes Augusta National has seen this century, few have been as significant as the lengthening of this hole by nearly 100 yards, turning it from a wood and a wedge to a drive (down a straight, narrow corridor) and a middle-iron uphill to a green surrounded by bunkers. In spite of its length, it can still provide thrills when players can use the pitch of the green to work the ball backwards toward a cup cut in a low area."
hole8,"Augusta National's par 5s separate the best drivers of the golf ball by rewarding great tee shots significantly more than mediocre ones. That is especially true here; avoiding the fairway bunker off the tee sets up a slinging right-to-left fairway wood up the hill to this unique green couched by mounds. The preferred side to miss changes with the pin position each day, underscoring the importance of course knowledge and experience."
hole9,"Length off the tee is a big factor here due to the angle of this hole's famous stair-stepped green. Every year, it forces some players to have to putt with their backs to the cup when they are out of position. The farther - and farther right - a player can position a drive down this fairway, the less impetuous the bunkers that hug the left side of the putting surface become."
hole10,"Players will need to calibrate both how far they plan to fly their tee shots and how much they will turn them from right to left here. Not enough sweep and they can lose out on as much as 50 or 60 yards of extra roll down the hill. The course's most expressively shaped bunker - which fronted the green in the early days - serves as a foreground to the approach to a severely tilted green from back-right to front left. The hardest hole over the course of Masters history, this is part of the reason for the famous adage about the tournament not truly beginning until the second nine on Sunday."
hole11,"After a tee shot that must hug the right treeline for the best angle, players head into championship golf's grandest living room: Amen Corner. The green tilts toward the pond, but the two mounds that front the putting surface can be used by a clever and steel-nerved player to propel a long approach close to the day's hole location. In 2022, the Masters tees were moved 15 yards back and to the left, straightening the hole slightly. Some right-side trees were removed, rewarding a more aggressive tee shot with a better look at the green."
hole12,"What more can be said about this hole that photos don't already communicate? What a contrast players face between the stadium-like atmosphere of the tee box and the quiet remove of the green complex tucked between Rae's Creek, three bunkers and the forested edge of the property! What perplexing swirling winds await them! What momentum-building birdies and round-killing double-bogeys await! What a special place in the game."
